,address,damage,date,cause,longitude,latitude
226,多摩川６－１６,地下室浸水（駐車場）,2007/07/29,集中豪雨,139.54415600000002,35.643184000000005
227,下石原３－２７,屋根破損（瓦７～８枚程度）,2010/03/20,強風,139.530931,35.651371999999995
228,柴崎１－４４,屋根破損（天頂部瓦滑落）,2010/03/20,強風,139.562407,35.657
229,入間町２－１５,風害による屋根破損,2010/03/20,強風,139.581299,35.648885
230,緑ヶ丘１－５,屋根破損（軽微なもの）,2010/03/20,強風,0.0,0.0
231,入間町２－２６,床下浸水（半地下駐車場）,2010/12/03,平成２２年１２月３日大雨,139.586646,35.64656
232,布田５－５３,床上浸水（半地下住居部分）,2011/08/26,大雨（集中豪雨）,139.544024,35.644503
233,国領町１－９,床上浸水（半地下住居部分）,2011/08/26,大雨（集中豪雨）,139.552175,35.651308
234,国領町１－９,床上浸水（半地下住居部分）,2011/08/26,大雨（集中豪雨）,139.552175,35.651308
235,国領町８－１３,床下浸水（駐車場）,2011/08/26,大雨（集中豪雨）,139.568471,35.647784
236,多摩川６－１６,床下浸水（駐車場）,2011/08/26,大雨（集中豪雨）,139.54415600000002,35.643184000000005
237,多摩川６－７,床下浸水（駐車場兼物置）,2011/08/26,大雨（集中豪雨）,139.54113600000002,35.644123
238,菊野台１－１７,浸水危険,2011/08/26,大雨（集中豪雨）,139.567013,35.654692
239,東つつじケ丘１－１６,床下浸水,2011/08/26,大雨（集中豪雨）,139.577718,35.66063
240,入間町２－１,マンホール噴出,2011/08/26,大雨（集中豪雨）,139.58442,35.651789
241,仙川町１－２３,床下浸水（作業場など）,2011/08/26,大雨（集中豪雨）,139.588176,35.659483
242,仙川町１－２３,床上浸水（半地下住居部分）,2011/08/26,大雨（集中豪雨）,139.588176,35.659483
243,緑ヶ丘２－５１,雨水枡から汚物噴出,2011/08/26,大雨（集中豪雨）,0.0,0.0
244,緑ヶ丘２－５１,雨水枡から汚物噴出,2011/08/26,大雨（集中豪雨）,0.0,0.0
245,若葉町１－１,床下浸水（駐車場）,2011/08/26,大雨（集中豪雨）,139.579725,35.659087
246,若葉町１－４,床下浸水（駐車場）,2011/08/26,大雨（集中豪雨）,139.57963700000002,35.659626
247,若葉町３－１,雨水玄関前１０cm,2011/08/26,大雨（集中豪雨）,139.581969,35.655257
248,若葉町３－１,床下浸水（駐車場）,2011/08/26,大雨（集中豪雨）,139.581969,35.655257
249,若葉町３－１,床下浸水（駐車場）,2011/08/26,大雨（集中豪雨）,139.581969,35.655257
250,若葉町３－２,床上浸水（半地下住居部分）,2011/08/26,大雨（集中豪雨）,139.582555,35.654653
251,調布ヶ丘２－１６,床上浸水（半地下住居部分）,2011/08/26,大雨（集中豪雨）,0.0,0.0
252,深大寺元町５－１２,床下浸水,2011/08/26,大雨（集中豪雨）,139.54871,35.666959000000006
253,深大寺南町２－１２,ガレージ浸水,2011/08/26,大雨（集中豪雨）,139.55825900000002,35.661864
254,深大寺東町２－１５,床下浸水,2013/09/15,平成２５年台風１８号,139.55963300000002,35.668378000000004
255,八雲台２－８,床上浸水,2013/09/15,平成２５年台風１８号,139.559129,35.652809000000005
