住所,状況,被害発生日,要因
染地３－１,床上浸水（マンションの地下室が水没）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（アパート１階（半地下のつくり）浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分浸水，地下室へは１階の水が浸入）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（中地下の車庫と地下室への浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水（収納スペース浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水（収納スペース）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（地下部分浸水）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
