"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"東京都","調布市","下石原二丁目","","23","9","-38415.6","-27128.5","35.653368","139.533729","1","1","0","0"
"東京都","調布市","富士見町四丁目","","16","9","-37281.7","-27123.8","35.663589","139.533742","1","1","0","0"
"東京都","調布市","下石原二丁目","","32","9","-38484.6","-27128.2","35.652746","139.533734","1","1","0","0"
"東京都","調布市","下石原二丁目","","31","9","-38449.0","-27093.0","35.653069","139.534122","1","1","0","0"
"東京都","調布市","下石原一丁目","","64","9","-37837.2","-27072.5","35.658584","139.534327","0","1","0","0"
"東京都","調布市","富士見町四丁目","","38","9","-37022.8","-27084.2","35.665923","139.534171","1","1","0","0"
"東京都","調布市","富士見町四丁目","","35","9","-36986.7","-27074.0","35.666249","139.534283","1","1","0","0"
"東京都","調布市","富士見町一丁目","","30","9","-37556.8","-26990.2","35.661113","139.535227","1","1","0","0"
"東京都","調布市","下石原二丁目","","32","9","-38518.1","-27079.7","35.652446","139.534271","1","0","0","0"
"東京都","調布市","富士見町四丁目","","17","9","-37164.3","-27001.3","35.664650","139.535091","1","1","0","0"
"東京都","調布市","富士見町一丁目","","28","9","-37601.0","-27036.3","35.660714","139.534719","1","1","0","0"
"東京都","調布市","下石原三丁目","","73","9","-39117.6","-27054.1","35.647043","139.534574","0","1","0","0"
"東京都","調布市","多摩川四丁目","","32","9","-39673.1","-27024.6","35.642036","139.534919","1","1","0","0"
"東京都","調布市","富士見町一丁目","","13","9","-37640.3","-27011.3","35.660360","139.534998","1","1","0","0"
"東京都","調布市","下石原一丁目","","10","9","-37966.3","-27015.0","35.657421","139.534967","1","1","0","0"
"東京都","調布市","下石原三丁目","","62","9","-38769.3","-26978.2","35.650184","139.535400","1","1","0","0"
"東京都","調布市","富士見町一丁目","","28","9","-37586.1","-27013.9","35.660849","139.534967","1","0","0","0"
"東京都","調布市","富士見町四丁目","","15","9","-37272.4","-27010.6","35.663676","139.534993","1","1","0","0"
"東京都","調布市","富士見町四丁目","","14","9","-37232.3","-26976.2","35.664038","139.535372","1","1","0","0"
"東京都","調布市","多摩川四丁目","","1","9","-39136.4","-27008.1","35.646875","139.535082","1","1","0","0"
"東京都","調布市","富士見町四丁目","","14","9","-37255.2","-26956.1","35.663833","139.535594","1","0","0","0"
"東京都","調布市","多摩川四丁目","","32","9","-39684.9","-26984.9","35.641932","139.535357","1","0","0","0"
"東京都","調布市","多摩川四丁目","","33","9","-39622.4","-26979.4","35.642495","139.535416","1","1","0","0"
"東京都","調布市","多摩川四丁目","","36","9","-39431.8","-26965.1","35.644213","139.535568","1","1","0","0"
"東京都","調布市","富士見町四丁目","","9","9","-37310.6","-26934.5","35.663333","139.535834","1","1","0","0"
"東京都","調布市","下石原一丁目","","7","9","-37920.2","-26949.9","35.657839","139.535684","1","1","0","0"
